Screen, Action, Date --- Time
Main Thread,Wifi is disabled at,08/05/2019 18:06:34.152
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 18:06:34.174
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 18:06:34.175
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 18:06:34.176
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:06:34.269
Estimote Timer,Started Estimote Service at,08/05/2019 18:06:34.268
Estimote Timer,No Activity at 1,08/05/2019 18:11:52.284
Estimote Sensor,Killed Sensor at,08/05/2019 18:13:24.498
Estimote Service,Killed Estimote Service at,08/05/2019 18:13:24.528
Main Thread,Wifi is disabled at,08/05/2019 18:25:46.404
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 18:25:46.433
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 18:25:46.434
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 18:25:46.435
Estimote Timer,Started Estimote Service at,08/05/2019 18:25:46.498
Estimote Timer,No Activity at 1,08/05/2019 18:25:46.515
Estimote Timer,Started Estimote Service at,08/05/2019 18:25:46.550
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:25:46.531
Estimote Timer,No Activity at 2,08/05/2019 18:25:46.585
Estimote Sensor,Killed Sensor at,08/05/2019 18:26:01.565
Estimote Service,Killed Estimote Service at,08/05/2019 18:26:01.578
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:26:16.632
Estimote Timer,Started Estimote Service at,08/05/2019 18:27:46.498
Estimote Timer,No Activity at 3,08/05/2019 18:27:46.513
Estimote Timer,Started Estimote Service at,08/05/2019 18:27:46.550
Estimote Timer,No Activity at 4,08/05/2019 18:27:46.564
Estimote Sensor,Killed Sensor at,08/05/2019 18:28:01.539
Estimote Service,Killed Estimote Service at,08/05/2019 18:28:01.550
Estimote Timer,Started Estimote Service at,08/05/2019 18:29:46.500
Estimote Timer,No Activity at 5,08/05/2019 18:29:46.513
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:29:46.524
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:29:46.538
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:30:46.517
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:31:16.580
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:35:46.520
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:36:16.596
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:40:46.520
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:41:25.092
